rawtorque,0.173800,0.900244
filterx,298.6998943676,0.910371
centroid_x,8,0.910432
centroid_y,-120,0.910438
rawtorque,0.151827,0.910443
rawtorque,0.125582,0.920492
centroid_x,48,0.930543
centroid_y,-58,0.931864
filterx,293.7436583336,0.931871
rawtorque,0.098421,0.932127
rawtorque,0.062715,0.940647
centroid_x,36,0.950735
centroid_y,-94,0.953557
filterx,283.2374568976,0.953563
rawtorque,0.036469,0.95357
rawtorque,0.009003,0.960839
centroid_x,28,0.970915
centroid_y,-107,0.975237
filterx,266.4162060276,0.975244
rawtorque,-0.031891,0.975261
CameraX,3.124602,0.981029
CameraY,-3.894687,0.989922
HEADING,-2.465467,0.989939
rawtorque,-0.053559,0.989953
rawtorque,-0.077363,0.991335
centroid_x,28,1.00127
centroid_y,-107,1.0066
filterx,243.4929053546,1.00661
rawtorque,-0.105135,1.00678
CameraX,3.1807127,1.01137
CameraY,-3.983248,1.01524
HEADING,-2.576853,1.01525
CameraX,3.1882913,1.01526
CameraY,-3.995628,1.01877
HEADING,-2.592276,1.01877
rawtorque,-0.126802,1.01878
rawtorque,-0.146944,1.02149
CameraX,3.2181846,1.03165
CameraY,-4.052959,1.03546
HEADING,-2.660969,1.03547
centroid_x,46,1.03548
centroid_y,-115,1.03748
filterx,215.4978755166,1.03749
rawtorque,-0.163729,1.03753
CameraX,3.2451849,1.04174
CameraY,-4.113731,1.05159
HEADING,-2.723498,1.05159
rawtorque,-0.174411,1.0516
centroid_x,39,1.05181
centroid_y,-128,1.06084
filterx,184.0512787566,1.06085
rawtorque,-0.186618,1.06098
CameraX,3.2698198,1.06226
CameraY,-4.178731,1.06956
HEADING,-2.779321,1.06958
rawtorque,-0.204623,1.06959
rawtorque,-0.201572,1.07229
CameraX,3.2900631,1.08243
CameraY,-4.242197,1.08598
HEADING,-2.832819,1.086
rawtorque,-0.205539,1.08601
centroid_x,39,1.09254
centroid_y,-128,1.09443
filterx,151.1098626766,1.09445
rawtorque,-0.205234,1.09473
CameraX,3.3077309,1.10265
CameraY,-4.307514,1.10299
HEADING,-2.877432,1.10301
rawtorque,-0.203403,1.10302
CameraX,3.3221042,1.11281
CameraY,-4.371520,1.11948
HEADING,-2.920685,1.11949
rawtorque,-0.196384,1.11949
centroid_x,39,1.12318
centroid_y,-128,1.12736
filterx,118.6856759566,1.12736
rawtorque,-0.193637,1.1278
CameraX,3.3345805,1.13317
CameraY,-4.437832,1.13638
HEADING,-2.955628,1.1364
rawtorque,-0.183871,1.13641
CameraX,3.3444818,1.14337
CameraY,-4.502406,1.15273
HEADING,-2.989459,1.15275
rawtorque,-0.176242,1.15276
centroid_x,19,1.15339
centroid_y,-119,1.15842
filterx,88.58591738666,1.15843
rawtorque,-0.172274,1.1586
CameraX,3.3527379,1.16342
CameraY,-4.567105,1.16882
HEADING,-3.014670,1.16882
rawtorque,-0.164645,1.16883
rawtorque,-0.154574,1.17357
CameraX,3.3594670,1.1839
CameraY,-4.633408,1.18512
HEADING,-3.040430,1.18512
centroid_x,19,1.18513
centroid_y,-119,1.19204
filterx,62.21386619426,1.19206
rawtorque,-0.146334,1.19234
CameraX,3.3652310,1.194
CameraY,-4.703479,1.20319
HEADING,-3.059516,1.20321
rawtorque,-0.144503,1.20322
rawtorque,-0.134127,1.20407
CameraX,3.3693086,1.21421
CameraY,-4.766047,1.21849
HEADING,-3.076536,1.21849
centroid_x,18,1.2185
centroid_y,-121,1.21968
filterx,40.45666754266,1.21969
rawtorque,-0.138094,1.21992
rawtorque,-0.133822,1.22438
CameraX,3.3729966,1.23439
CameraY,-4.835989,1.23644
HEADING,-3.088900,1.23646
rawtorque,-0.134737,1.23648
CameraX,3.3756990,1.24454
CameraY,-4.901750,1.25252
HEADING,-3.100518,1.25253
centroid_x,18,1.25253
filterx,23.68252805016,1.25332
centroid_y,-121,1.25333
rawtorque,-0.136568,1.25334
rawtorque,-0.144808,1.25453
CameraX,3.3780258,1.26473
CameraY,-4.970135,1.26997
HEADING,-3.107589,1.26999
rawtorque,-0.157321,1.27
rawtorque,-0.168917,1.27486
centroid_x,18,1.28511
filterx,11.81780008176,1.28582
centroid_y,-121,1.28583
CameraX,3.3800609,1.28585
CameraY,-5.036668,1.2865
HEADING,-3.111021,1.28652
rawtorque,-0.184482,1.28653
CameraX,3.3818731,1.29558
CameraY,-5.103475,1.30359
HEADING,-3.114467,1.3036
rawtorque,-0.193332,1.3036
rawtorque,-0.207980,1.30566
centroid_x,0,1.31599
centroid_y,-107,1.31834
filterx,4.442803492136,1.31834
CameraX,3.3835587,1.31846
CameraY,-5.168641,1.31927
HEADING,-3.115731,1.31928
rawtorque,-0.222629,1.31929
rawtorque,-0.240330,1.32596
CameraX,3.3852181,1.33599
CameraY,-5.236237,1.33647
HEADING,-3.117042,1.33649
centroid_x,14,1.3365
centroid_y,-111,1.34158
filterx,0.878879477946,1.3416
rawtorque,-0.256809,1.34188
CameraX,3.3868492,1.34617
CameraY,-5.303341,1.35335
HEADING,-3.117299,1.35336
rawtorque,-0.265049,1.35338
rawtorque,-0.276341,1.35628
CameraX,3.3884229,1.36643
CameraY,-5.368770,1.36967
HEADING,-3.117550,1.36969
centroid_x,14,1.3697
centroid_y,-111,1.37416
filterx,0.289329285801,1.37417
rawtorque,-0.289464,1.37447
CameraX,3.3899920,1.37642
CameraY,-5.434268,1.38611
HEADING,-3.117633,1.38613
rawtorque,-0.291600,1.38614
rawtorque,-0.296483,1.38667
CameraX,3.3916423,1.39683
CameraY,-5.503384,1.4033
HEADING,-3.117721,1.40331
rawtorque,-0.305333,1.40333
centroid_x,14,1.40689
centroid_y,-111,1.40715
filterx,1.802943822801,1.40717
rawtorque,-0.303197,1.40749
CameraX,3.3932011,1.41704
CameraY,-5.570161,1.42
HEADING,-3.118246,1.42002
rawtorque,-0.300145,1.42004
CameraX,3.3946466,1.4272
CameraY,-5.633401,1.43548
HEADING,-3.118744,1.43549
centroid_x,60,1.43549
centroid_y,-115,1.43554
filterx,4.633209508541,1.43555
rawtorque,-0.302892,1.43571
rawtorque,-0.304723,1.43728
CameraX,3.3961574,1.44751
CameraY,-5.703893,1.4536
HEADING,-3.120169,1.45362
rawtorque,-0.304112,1.45363
centroid_x,64,1.45755
centroid_y,-121,1.45903
filterx,8.191776864331,1.45905
rawtorque,-0.296483,1.4592
CameraX,3.3974159,1.46765
CameraY,-5.769913,1.4699
HEADING,-3.122529,1.46992
rawtorque,-0.298314,1.46994
CameraX,3.3985299,1.4779
CameraY,-5.836668,1.48667
HEADING,-3.124916,1.48669
rawtorque,-0.297704,1.4867
centroid_x,64,1.488
centroid_y,-121,1.49321
filterx,12.15910281941,1.49321
rawtorque,-0.296788,1.49335
CameraX,3.3993796,1.49823
CameraY,-5.900654,1.50242
HEADING,-3.128311,1.50243
rawtorque,-0.303502,1.50244
rawtorque,-0.306859,1.50828
CameraX,3.4000431,1.51843
CameraY,-5.969795,1.5201
HEADING,-3.131979,1.52012
centroid_x,64,1.52013
centroid_y,-121,1.52631
filterx,16.43866149191,1.52632
rawtorque,-0.302892,1.52638
CameraX,3.4003669,1.52859
CameraY,-6.037402,1.53687
HEADING,-3.136829,1.53689
rawtorque,-0.306859,1.53692
rawtorque,-0.314488,1.53867
centroid_x,47,1.54896
centroid_y,-93,1.55144
filterx,21.02636148751,1.55145
CameraX,3.4002939,1.55164
CameraY,-6.101610,1.55262
HEADING,3.1404660,1.55263
rawtorque,-0.313878,1.55264
rawtorque,-0.324254,1.55881
CameraX,3.3997750,1.56918
CameraY,-6.170908,1.57037
HEADING,3.1341088,1.57039
filterx,25.88440337121,1.57041
centroid_x,40,1.57507
centroid_y,-78,1.57509
rawtorque,-0.327001,1.5751
CameraX,3.3988318,1.57914
CameraY,-6.235022,1.58589
HEADING,3.1268672,1.58589
rawtorque,-0.325475,1.5859
centroid_x,24,1.58929
centroid_y,-116,1.59652
filterx,30.86160597031,1.59653
rawtorque,-0.327916,1.59672
CameraX,3.3971532,1.59941
CameraY,-6.304605,1.60371
HEADING,3.1174945,1.60373
rawtorque,-0.339208,1.60374
rawtorque,-0.346532,1.6096
centroid_x,50,1.61969
centroid_y,-85,1.61988
CameraX,3.3949775,1.61989
CameraY,-6.370570,1.61997
HEADING,3.1086060,1.62006
filterx,35.68714159481,1.62017
rawtorque,-0.347143,1.62019
CameraX,3.3920470,1.62973
CameraY,-6.437906,1.63725
HEADING,3.0981116,1.63727
rawtorque,-0.345006,1.63728
centroid_x,45,1.63998
centroid_y,-79,1.64337
filterx,40.05029269361,1.64339
rawtorque,-0.345312,1.64378
CameraX,3.3883706,1.65011
CameraY,-6.504524,1.65386
HEADING,3.0864524,1.65388
rawtorque,-0.347448,1.6539
centroid_x,43,1.6602
centroid_y,-86,1.66659
filterx,43.70532884491,1.66661
CameraX,3.3838434,1.66689
CameraY,-6.571123,1.6702
HEADING,3.0737223,1.67022
rawtorque,-0.354467,1.67023
rawtorque,-0.346532,1.67025
CameraX,3.3784853,1.68039
CameraY,-6.637475,1.6869
HEADING,3.0610285,1.68691
centroid_x,42,1.68692
centroid_y,-112,1.68965
filterx,46.51506322591,1.68967
rawtorque,-0.347448,1.68991
rawtorque,-0.342260,1.69048
CameraX,3.3722205,1.7006
CameraY,-6.703859,1.70373
HEADING,3.0474949,1.70375
rawtorque,-0.341039,1.70376
centroid_x,34,1.71094
centroid_y,-115,1.71161
filterx,48.43229788941,1.71161
CameraX,3.3650819,1.71183
CameraY,-6.769657,1.7202
HEADING,3.0335087,1.72021
rawtorque,-0.344091,1.72022
rawtorque,-0.343175,1.7208
centroid_x,52,1.73099
centroid_y,-67,1.73478
filterx,49.47543722921,1.73479
CameraX,3.3569267,1.7349
CameraY,-6.835897,1.73675
HEADING,3.0191007,1.73676
rawtorque,-0.345006,1.73678
rawtorque,-0.349279,1.74111
CameraX,3.3478527,1.75122
CameraY,-6.901787,1.75354
HEADING,3.0047427,1.75356
filterx,49.72694074461,1.75357
centroid_x,43,1.75755
centroid_y,-102,1.75764
rawtorque,-0.353552,1.75765
CameraX,3.3381557,1.76119
CameraY,-6.965582,1.76947
HEADING,2.9907412,1.76948
rawtorque,-0.365454,1.76948
centroid_x,46,1.77132
filterx,49.33470478891,1.7809
centroid_y,-83,1.78091
rawtorque,-0.368811,1.78092
CameraX,3.3266172,1.7815
CameraY,-7.034495,1.7872
HEADING,2.9757005,1.78722
rawtorque,-0.381323,1.78723
rawtorque,-0.389868,1.79165
CameraX,3.3147265,1.80174
CameraY,-7.099773,1.80376
HEADING,2.9614173,1.80378
centroid_x,29,1.8038
centroid_y,-106,1.80382
filterx,48.48113825151,1.80383
rawtorque,-0.397192,1.8041
CameraX,3.3018763,1.81193
CameraY,-7.165089,1.82034
HEADING,2.9473359,1.82036
rawtorque,-0.417639,1.82037
centroid_x,51,1.82201
centroid_y,-74,1.82741
filterx,47.33563019631,1.82742
rawtorque,-0.429847,1.82766
CameraX,3.2880849,1.83218
CameraY,-7.230421,1.83708
